sku	description	category	unit_price	quantity_on_hand	reorder_point
SKU-TO-1057	Carbide Tipped Circular Saw Blade Eco	Tools	22.83	9	200
SKU-AD-1058	Epoxy Anchor Resin Twin Pack Pro-Series	Adhesives	19.41	246	100
SKU-FL-1059	Hardwood Oak Plank 5in Pro-Series	Flooring	4.41	294	75
SKU-AD-1060	Wood Glue Max Strength 16oz Premium	Adhesives	5.39	353	250
SKU-FL-1061	Chevron Walnut Parquet Pro-Series	Flooring	5.84	55	75
SKU-AD-1062	Wood Glue Max Strength 16oz HD	Adhesives	5.62	147	150
SKU-FL-1063	Chevron Walnut Parquet	Flooring	5.99	100	25
SKU-TO-1064	Carbide Tipped Circular Saw Blade Eco	Tools	24.16	581	200
SKU-TO-1065	Pneumatic Floor Cleat Nailer Eco	Tools	189.27	672	200
SKU-TO-1066	Laser Distance Measure 165ft Premium	Tools	73.11	324	100
SKU-TO-1067	Heavy Duty Floor Scraper 12in Premium	Tools	34.47	130	100
SKU-AD-1068	Silicone Waterproof Sealant Clear Pro-Series	Adhesives	4.73	359	150
SKU-AD-1069	Tile Mortar Thinset Polymer Mod HD	Adhesives	15.27	571	150
SKU-FL-1070	Engineered Maple Flooring Eco	Flooring	3.86	355	200
SKU-FL-1071	Chevron Walnut Parquet Pro-Series	Flooring	6.1	15	50
SKU-AD-1072	Premium Flooring Urethane Glue HD	Adhesives	44.23	653	200
SKU-AD-1073	Subfloor High-Tack Adhesive Pro-Series	Adhesives	7.53	192	200
SKU-FL-1074	Reclaimed Barnwood Plank Pro-Series	Flooring	6.08	311	200
SKU-TO-1075	Carbide Tipped Circular Saw Blade	Tools	24.29	868	250
SKU-TO-1076	Dead Blow Mallet 24oz HD	Tools	15.59	696	200
SKU-TO-1077	Tile Cutter Manual 24in Professional Pro-Series	Tools	68.17	256	100
SKU-TO-1078	Laser Distance Measure 165ft Premium	Tools	78.76	84	50
SKU-TO-1079	Laser Distance Measure 165ft Pro-Series	Tools	75.39	117	75
SKU-FL-1080	Luxury Vinyl Tile Slate Pro-Series	Flooring	2.15	81	50
SKU-AD-1081	Subfloor High-Tack Adhesive Eco	Adhesives	8.17	53	100
SKU-AD-1082	Heavy Duty Construction Adhesive Premium	Adhesives	6.1	70	25
SKU-AD-1083	Subfloor High-Tack Adhesive Premium	Adhesives	8.5	307	150
SKU-AD-1084	Epoxy Anchor Resin Twin Pack Eco	Adhesives	18.02	83	25
SKU-TO-1085	Heavy Duty Floor Scraper 12in HD	Tools	36.85	396	150
SKU-TO-9993	Pneumatic Floor Cleat Nailer HD (Critical)	Tools	195	2	15
SKU-FL-1087	Chevron Walnut Parquet HD	Flooring	5.55	324	100
SKU-AD-1088	Subfloor High-Tack Adhesive Eco	Adhesives	8.64	69	100
SKU-FL-1089	Porcelain Wood-Look Tile Pro-Series	Flooring	2.01	366	250
SKU-FL-1090	Premium Bamboo Flooring Pro-Series	Flooring	3.63	152	150
SKU-AD-1091	Premium Flooring Urethane Glue Premium	Adhesives	49.03	318	100
SKU-FL-1092	Engineered Maple Flooring Pro-Series	Flooring	4.21	71	25
SKU-TO-1093	Precision Contour Gauge Tool HD	Tools	10.87	44	50
SKU-TO-1094	Carbide Tipped Circular Saw Blade	Tools	25.47	250	75
SKU-FL-1095	Hardwood Oak Plank 5in Eco	Flooring	4.53	778	200
SKU-TO-1096	Dead Blow Mallet 24oz	Tools	16.32	768	250
SKU-AD-1097	Tile Mortar Thinset Polymer Mod Pro-Series	Adhesives	14.56	536	200
SKU-TO-1098	Tile Cutter Manual 24in Professional HD	Tools	64.16	590	200
SKU-FL-1099	Engineered Maple Flooring Eco	Flooring	4.14	162	50
SKU-AD-1100	Heavy Duty Construction Adhesive HD	Adhesives	6.69	155	50
SKU-AD-1101	Wood Glue Max Strength 16oz Eco	Adhesives	5.92	270	200
SKU-TO-1102	Carbide Tipped Circular Saw Blade	Tools	23.23	253	100
SKU-TO-1103	Tile Cutter Manual 24in Professional HD	Tools	64.33	7	25
SKU-AD-1104	Epoxy Anchor Resin Twin Pack Eco	Adhesives	18.85	232	75
SKU-AD-1105	Subfloor High-Tack Adhesive Premium	Adhesives	7.83	573	200
SKU-AD-1106	Epoxy Anchor Resin Twin Pack	Adhesives	19.06	68	75
SKU-TO-1107	Heavy Duty Floor Scraper 12in Pro-Series	Tools	32.07	398	100
SKU-TO-1108	Laser Distance Measure 165ft	Tools	84.26	142	75
SKU-AD-1109	Heavy Duty Construction Adhesive Premium	Adhesives	5.78	69	25
SKU-TO-1110	Heavy Duty Floor Scraper 12in HD	Tools	31.3	92	25
SKU-AD-1111	Tile Mortar Thinset Polymer Mod Eco	Adhesives	13.82	93	25
SKU-FL-1112	Engineered Maple Flooring HD	Flooring	3.84	222	150
SKU-FL-1113	Luxury Vinyl Tile Slate Premium	Flooring	2.4	47	25
SKU-TO-1114	Precision Contour Gauge Tool Premium	Tools	10.18	462	150
SKU-AD-1115	Tile Mortar Thinset Polymer Mod HD	Adhesives	14.15	351	150
SKU-TO-1116	Pro Notch Flooring Trowel Premium	Tools	13.65	58	25
SKU-TO-1117	Carbide Tipped Circular Saw Blade Eco	Tools	25.29	84	50
SKU-FL-1118	Hardwood Oak Plank 5in HD	Flooring	4.46	211	150
SKU-FL-1119	Chevron Walnut Parquet Eco	Flooring	5.98	29	100
SKU-AD-1120	Epoxy Anchor Resin Twin Pack HD	Adhesives	16.84	133	50
SKU-FL-1121	Engineered Maple Flooring	Flooring	3.59	242	75
SKU-AD-1122	Tile Mortar Thinset Polymer Mod	Adhesives	14.66	166	75
SKU-TO-1123	Tile Cutter Manual 24in Professional HD	Tools	59.55	73	25
SKU-TO-1124	Laser Distance Measure 165ft	Tools	72.54	281	200
SKU-TO-1125	Laser Distance Measure 165ft Premium	Tools	71.74	258	250
SKU-TO-1126	Tile Cutter Manual 24in Professional Eco	Tools	60.86	446	150
SKU-FL-1127	Cork Flooring Acoustic Underlay Eco	Flooring	2.75	138	75
SKU-AD-1128	Subfloor High-Tack Adhesive HD	Adhesives	7.76	148	100
SKU-AD-1129	Premium Flooring Urethane Glue Eco	Adhesives	42.77	83	25
SKU-TO-1130	Pro Notch Flooring Trowel Premium	Tools	12.4	30	25
SKU-TO-1131	Tile Cutter Manual 24in Professional HD	Tools	68.38	98	50
SKU-AD-1132	Tile Mortar Thinset Polymer Mod HD	Adhesives	13.63	505	200
SKU-TO-1133	Heavy Duty Floor Scraper 12in Eco	Tools	34.35	310	150
SKU-FL-1134	Cork Flooring Acoustic Underlay	Flooring	2.88	139	50
SKU-TO-1135	Laser Distance Measure 165ft HD	Tools	84.29	204	100
SKU-AD-1136	Epoxy Anchor Resin Twin Pack Premium	Adhesives	18.28	135	50
SKU-AD-1137	Wood Glue Max Strength 16oz Premium	Adhesives	5.24	70	25
SKU-TO-1138	Tile Cutter Manual 24in Professional Pro-Series	Tools	64.31	323	100
SKU-AD-1139	Wood Glue Max Strength 16oz Pro-Series	Adhesives	6.03	124	50
SKU-AD-1140	Heavy Duty Construction Adhesive Eco	Adhesives	6.56	650	200
SKU-AD-1141	Industrial Contact Cement 1G HD	Adhesives	31.15	149	50
SKU-FL-1142	Cork Flooring Acoustic Underlay	Flooring	2.81	18	100
SKU-AD-1143	Industrial Contact Cement 1G	Adhesives	28.33	274	75
SKU-AD-1144	Premium Flooring Urethane Glue Eco	Adhesives	48.17	649	250
SKU-TO-1145	Tile Cutter Manual 24in Professional Premium	Tools	58.97	68	25
SKU-FL-1146	Engineered Maple Flooring HD	Flooring	4.22	427	250
SKU-AD-1147	Industrial Contact Cement 1G Eco	Adhesives	30.8	39	25
SKU-AD-1148	Wood Glue Max Strength 16oz Eco	Adhesives	5.42	111	50
SKU-FL-1149	Luxury Vinyl Tile Slate	Flooring	2.25	253	100
SKU-AD-1150	Industrial Contact Cement 1G Pro-Series	Adhesives	28.28	267	75
SKU-FL-1151	Cork Flooring Acoustic Underlay Eco	Flooring	2.9	22	50
SKU-TO-1152	Laser Distance Measure 165ft HD	Tools	82.01	231	100
SKU-AD-1153	Tile Mortar Thinset Polymer Mod	Adhesives	13.97	346	150
SKU-TO-1154	Laser Distance Measure 165ft	Tools	86.55	268	200
SKU-TO-1155	Pro Notch Flooring Trowel Premium	Tools	13.11	618	250
SKU-FL-1156	Porcelain Wood-Look Tile Pro-Series	Flooring	2	581	150
SKU-TO-1157	Heavy Duty Floor Scraper 12in	Tools	36.74	112	200
SKU-FL-1158	Porcelain Wood-Look Tile Pro-Series	Flooring	1.79	203	75
SKU-FL-1159	Premium Bamboo Flooring Pro-Series	Flooring	3.59	166	75
SKU-FL-1160	Chevron Walnut Parquet HD	Flooring	6.29	183	75
SKU-FL-1161	Cork Flooring Acoustic Underlay	Flooring	2.6	166	50
SKU-TO-1162	Dead Blow Mallet 24oz	Tools	16.14	47	25
SKU-AD-1163	Wood Glue Max Strength 16oz Eco	Adhesives	5.59	705	250
SKU-FL-1164	Premium Bamboo Flooring HD	Flooring	3.08	507	150
SKU-FL-1165	Engineered Maple Flooring HD	Flooring	4.17	126	75
SKU-FL-1166	Hardwood Oak Plank 5in	Flooring	4.32	30	100
SKU-TO-1167	Heavy Duty Floor Scraper 12in HD	Tools	33.68	689	200
SKU-TO-1168	Heavy Duty Floor Scraper 12in HD	Tools	35.05	742	250
SKU-AD-1169	Heavy Duty Construction Adhesive Eco	Adhesives	5.9	315	100
SKU-FL-1170	Porcelain Wood-Look Tile Premium	Flooring	2.11	667	200
SKU-AD-1171	Epoxy Anchor Resin Twin Pack	Adhesives	19.89	542	250
SKU-TO-1172	Pro Notch Flooring Trowel	Tools	13.22	117	50
SKU-FL-1173	Premium Bamboo Flooring Premium	Flooring	3.21	476	250
SKU-TO-1174	Pro Notch Flooring Trowel Eco	Tools	13.4	129	50
SKU-FL-1175	Engineered Maple Flooring	Flooring	3.57	157	75
SKU-TO-1176	Dead Blow Mallet 24oz	Tools	14.26	31	25
SKU-TO-1177	Pneumatic Floor Cleat Nailer	Tools	188.1	932	250
SKU-FL-1178	Cork Flooring Acoustic Underlay Premium	Flooring	2.64	133	150
SKU-AD-1179	Tile Mortar Thinset Polymer Mod	Adhesives	13.45	348	100
SKU-TO-1180	Pneumatic Floor Cleat Nailer HD	Tools	197.03	10	100
SKU-AD-1181	Industrial Contact Cement 1G	Adhesives	26.37	475	150
SKU-TO-1182	Dead Blow Mallet 24oz HD	Tools	16.76	453	150
SKU-TO-1183	Precision Contour Gauge Tool	Tools	10.58	59	25
SKU-AD-1184	Tile Mortar Thinset Polymer Mod Pro-Series	Adhesives	14.5	750	250
SKU-TO-1185	Pneumatic Floor Cleat Nailer Eco	Tools	186.23	416	200
SKU-TO-1186	Tile Cutter Manual 24in Professional	Tools	59.69	3	25
SKU-TO-1187	Dead Blow Mallet 24oz Pro-Series	Tools	15.42	482	150
SKU-AD-1188	Premium Flooring Urethane Glue HD	Adhesives	43.68	693	200
SKU-TO-1189	Pro Notch Flooring Trowel Eco	Tools	12.75	64	75
SKU-FL-1190	Luxury Vinyl Tile Slate HD	Flooring	2.08	79	25
SKU-FL-1191	Chevron Walnut Parquet Premium	Flooring	5.44	143	100
SKU-TO-1192	Laser Distance Measure 165ft	Tools	73.95	607	200
SKU-AD-1193	Heavy Duty Construction Adhesive Pro-Series	Adhesives	6.71	230	150
SKU-FL-1194	Hardwood Oak Plank 5in	Flooring	4.72	181	50
SKU-AD-1195	Industrial Contact Cement 1G Eco	Adhesives	27.43	242	75
SKU-TO-1196	Pneumatic Floor Cleat Nailer	Tools	175.98	408	250
SKU-AD-1197	Tile Mortar Thinset Polymer Mod HD	Adhesives	14.71	240	100
SKU-TO-1198	Pneumatic Floor Cleat Nailer Eco	Tools	186.35	248	75
SKU-AD-1199	Silicone Waterproof Sealant Clear	Adhesives	4.53	52	150
SKU-AD-1200	Epoxy Anchor Resin Twin Pack Pro-Series	Adhesives	19.21	98	75
